Action Name,Action Function
is.workflow.actions.getdirections,action_getdirections
is.workflow.actions.getdistance,action_getdistance
is.workflow.actions.getepisodesforpodcast,action_getepisodesforpodcast
is.workflow.actions.getframesfromimage,action_getframesfromimage
is.workflow.actions.gethalfwaypoint,action_gethalfwaypoint
is.workflow.actions.gethomeaccessorystate,action_gethomeaccessory
is.workflow.actions.gethtmlfromrichtext,action_gethtmlfromrichtext
is.workflow.actions.getipaddress,action_getipaddress
is.workflow.actions.getitemfromlist,action_getitemfromlist
is.workflow.actions.getitemname,action_getitemname
is.workflow.actions.getitemtype,action_getitemtype
is.workflow.actions.getlastphoto,action_getlastphoto
is.workflow.actions.getlastscreenshot,action_getlastscreenshot
is.workflow.actions.getlastvideo,action_getlastvideo
is.workflow.actions.getlatestbursts,action_getlatestburst
is.workflow.actions.getlatestlivephotos,action_getlatestlivephotos
is.workflow.actions.getlatestphotoimport,action_getlatestphotoimport
is.workflow.actions.getmapslink,action_getmapslink
is.workflow.actions.getmarkdownfromrichtext,action_getmarkdownfromrichtext
is.workflow.actions.getmyworkflows,action_getmyworkflows
is.workflow.actions.getnameofemoji,action_getnameofemoji
is.workflow.actions.getonscreencontent,action_getonscreencontent
com.apple.ShortcutsActions.GetOrientationAction,action_getorientation
is.workflow.actions.getparkedcarlocation,action_getparkedcarlocation
com.apple.ShortcutsActions.GetPhysicalActivity,action_getphysicalactivity
is.workflow.actions.getpodcastsfromlibrary,action_getpodcastsfromlibrary
is.workflow.actions.getrichtextfromhtml,action_getrichtextfromhtml
is.workflow.actions.getrichtextfrommarkdown,action_getrichtextfrommarkdown
is.workflow.actions.gettext,action_gettext
is.workflow.actions.gettextfrompdf,action_gettextfrompdf
is.workflow.actions.gettimebetweendates,action_gettimebetweendates
is.workflow.actions.gettraveltime,action_gettraveltime
is.workflow.actions.gettypeaction,action_gettypeaction
is.workflow.actions.getupcomingevents,action_getupcomingevents
is.workflow.actions.getupcomingreminders,action_getupcomingreminders
is.workflow.actions.geturlcomponent,action_geturlcomponent
is.workflow.actions.getvalueforkey,action_getvalueforkey
is.workflow.actions.getvariable,action_getvariable
is.workflow.actions.getwebpagecontents,action_getwebpagecontents
is.workflow.actions.getwifi,action_getwifi
is.workflow.actions.giphy,action_giphy
is.workflow.actions.handoffplayback,action_handoffplayback
is.workflow.actions.hash,action_hash
is.workflow.actions.health.quantity.log,action_health_quantity_log
is.workflow.actions.health.workout.log,action_health_workout_log
is.workflow.actions.workout.start,action_health_workout_log
is.workflow.actions.runscene,action_health_workout_log
is.workflow.actions.homeaccessory,action_homeaccessory
is.workflow.actions.image.combine,action_image_combine
is.workflow.actions.image.convert,action_image_convert
is.workflow.actions.image.crop,action_image_crop
is.workflow.actions.image.flip,action_image_flip
is.workflow.actions.image.mask,action_image_mask
is.workflow.actions.image.removebackground,action_image_removebackground
is.workflow.actions.image.rotate,action_image_rotate
is.workflow.actions.intercom,action_intercom
com.apple.mobiletimer.LapStopwatchIntent,action_lap_stopwatch
is.workflow.actions.list,action_list
is.workflow.actions.listeningmode.set,action_listeningmode_set
is.workflow.actions.location,action_location
is.workflow.actions.lockscreen,action_lockscreen
is.workflow.actions.lowpowermode.set,action_lowpowermode_set
is.workflow.actions.makegif,action_makegif
is.workflow.actions.makeimagefrompdfpage,action_makeimagefrompdfpage
is.workflow.actions.makeimagefromrichtext,action_makeimagefromrichtext
is.workflow.actions.makepdf,action_makepdf
is.workflow.actions.makespokenaudiofromtext,action_makespokenaudiofromtext
is.workflow.actions.makevideofromgif,action_makevideofromgif
is.workflow.actions.makezip,action_makezip
is.workflow.actions.math,action_math
is.workflow.actions.measurement.convert,action_measurement_convert
is.workflow.actions.measurement.create,action_measurement_create
com.apple.mobileslideshow.StreamShareService,action_mobileslideshow_streamshareservice
com.apple.mobilenotes.MoveNotesToFolderLinkAction,action_move_notes
is.workflow.actions.nightshift.set,action_nightshift_set
com.apple.mobilenotes.ChangeSettingLinkAction,action_note_changesetting
com.apple.mobilenotes.OpenAccountLinkAction,action_note_openaccount
is.workflow.actions.nothing,action_nothing
is.workflow.actions.notification,action_notification
is.workflow.actions.number,action_number
is.workflow.actions.number.random,action_number_random
com.apple.ShortcutsActions.OpenCameraAction,action_open_camera
com.apple.Passbook.OpenPassIntent,action_open_card
com.apple.mobilemail.OpenMailboxEntityAction,action_open_mailbox
com.apple.reminders.TTROpenSmartListAppIntent,action_open_smartlist
com.apple.mobilenotes.OpenTagLinkAction,action_open_tag_notes
com.apple.mobilenotes.OpenAppLocationLinkAction,action_open_view_note
is.workflow.actions.openapp,action_openapp
is.workflow.actions.openin,action_openin
is.workflow.actions.openpasswords,action_openpasswords
com.apple.mobiletimer.OpenTab,action_opentab
is.workflow.actions.openurl,action_openurl
is.workflow.actions.openworkflow,action_openworkflow
is.workflow.actions.openxcallbackurl,action_openxcallbackurl
is.workflow.actions.orientationlock.set,action_orientationlock_set
is.workflow.actions.output,action_output
is.workflow.actions.overlayimageonimage,action_overlayimageonimage
is.workflow.actions.overlaytext,action_overlaytext
com.apple.mobiletimer.PauseTimerIntent,action_pause_timer
is.workflow.actions.pausemusic,action_pausemusic
is.workflow.actions.personalhotspot.password.get,action_personalhotspot_password_get
is.workflow.actions.personalhotspot.password.set,action_personalhotspot_password_get
is.workflow.actions.personalhotspot.set,action_personalhotspot_set
is.workflow.actions.phonenumber,action_phonenumber
is.workflow.actions.photos.createalbum,action_photo_createalbum
com.apple.NanoSettings.NPRFPingMyPhoneIntent,action_pingmyphone
com.apple.VoiceMemos.PlaybackVoiceMemoIntent,action_play_recording
is.workflow.actions.playmusic,action_playmusic
is.workflow.actions.playpodcast,action_playpodcast
is.workflow.actions.playsound,action_playsound
is.workflow.actions.podcasts.subscribe,action_podcasts_subscribe
is.workflow.actions.posters.get,action_posters_get
is.workflow.actions.posters.switch,action_posters_switch
is.workflow.actions.previewdocument,action_previewdocument
is.workflow.actions.print,action_print
is.workflow.actions.properties.appstore,action_properties_appstore
is.workflow.actions.properties.articles,action_properties_articles
is.workflow.actions.properties.calendarevents,action_properties_calendarevents
is.workflow.actions.properties.contacts,action_properties_contacts
is.workflow.actions.properties.eventattendees,action_properties_eventattendees
is.workflow.actions.properties.files,action_properties_files
is.workflow.actions.properties.health.quantity,action_properties_health_quantity
is.workflow.actions.properties.images,action_properties_images
is.workflow.actions.properties.itunesstore,action_properties_itunes
is.workflow.actions.properties.locations,action_properties_location
is.workflow.actions.properties.music,action_properties_music
is.workflow.actions.properties.parkedcar,action_properties_parkedcar
is.workflow.actions.properties.podcast,action_properties_podcast
is.workflow.actions.properties.podcastshow,action_properties_podcasthow
is.workflow.actions.properties.reminders,action_properties_reminders
is.workflow.actions.properties.safariwebpage,action_properties_safariwebpage
is.workflow.actions.readinglist,action_readinglist
is.workflow.actions.reboot,action_reboot
com.apple.musicrecognition.RecognizeMusicIntent,action_recognize_music
is.workflow.actions.recordaudio,action_recordaudio
is.workflow.actions.reminders.showlist,action_reminders_showlist
com.apple.mobilenotes.RemoveTagsFromNotesLinkAction,action_remove_tag_notes
is.workflow.actions.removeevents,action_removeevents
is.workflow.actions.removefromalbum,action_removefromalbum
is.workflow.actions.removereminders,action_removereminders
is.workflow.actions.repeat.count,action_repeat_count
is.workflow.actions.repeat.each,action_repeat_each
is.workflow.actions.ride.requestride,action_requestride
com.apple.ShortcutsActions.ResetCellularDataStatisticsAction,action_reset_cellulardata_statistics
com.apple.shortcuts.ResetCellularDataStatisticsAction,action_reset_cellulardata_statistics
com.apple.mobiletimer.ResetStopwatchIntent,action_reset_stopwatch
is.workflow.actions.image.resize,action_resize
com.apple.mobiletimer.ResumeTimerIntent,action_resume_timer
is.workflow.actions.returntohomescreen,action_returntohomescreen
is.workflow.actions.round,action_round
is.workflow.actions.rss,action_rss
is.workflow.actions.rss.extract,action_rss_extract
is.workflow.actions.runextension,action_runextension
is.workflow.actions.runjavascriptonwebpage,action_runjavascriptonwebpage
is.workflow.actions.runsshscript,action_runsshscript
is.workflow.actions.runworkflow,action_runworkflow
com.apple.mobilesafari.CloseTab,action_safari_closetab
is.workflow.actions.savetocameraroll,action_savetocameraroll
is.workflow.actions.scanbarcode,action_scanbarcode
com.apple.reminders.TTRSearchRemindersAppIntent,action_search_inreminder
com.apple.mobilemail.SearchMessagesAction,action_search_message_mail
com.apple.shortcuts.SearchShortcutsAction,action_search_shortcut
is.workflow.actions.searchappstore,action_searchappstore
com.apple.DocumentsApp.SearchFile,action_searchfile
is.workflow.actions.searchitunes,action_searchitunes
is.workflow.actions.searchlocalbusinesses,action_searchlocalbusinesses
is.workflow.actions.searchmaps,action_searchmap
is.workflow.actions.searchpodcasts,action_searchpodcasts
is.workflow.actions.searchweb,action_searchweb
is.workflow.actions.seek,action_seek
com.apple.VoiceMemos.SelectRecording,action_select_recording
is.workflow.actions.selectcontacts,action_selectcontacts
is.workflow.actions.selectemail,action_selectemail
is.workflow.actions.selectphone,action_selectphone
is.workflow.actions.selectphoto,action_selectphoto
is.workflow.actions.sendemail,action_sendemail
is.workflow.actions.sendmessage,action_sendmessage
com.apple.mobilecal.SetCalendarFocusConfiguration,action_set_calendar_focus
is.workflow.actions.setters.contacts,action_set_contact
com.apple.NanoSettings.NPRFSetSchoolTimeIntent,action_set_schooltime
com.apple.NanoSettings.NPRFSetWaterLockIntent,action_set_waterlock
is.workflow.actions.setairdropreceiving,action_setairdroppreceiving
is.workflow.actions.setbrightness,action_setbrightness
is.workflow.actions.setclipboard,action_setclipboard
com.apple.ShortcutsActions.SetDataRoamingAction,action_setdataroaming
com.apple.NanoSettings.NPRFSetFlashLightIntent,action_setflashlight
is.workflow.actions.setitemname,action_setitemname
is.workflow.actions.setparkedcar,action_setparkedcar
is.workflow.actions.setplaybackdestination,action_setplaybackdestination
is.workflow.actions.setters.calendarevents,action_setters_calendarevents
is.workflow.actions.setters.reminders,action_setters_reminders
is.workflow.actions.announcenotifications.set,action_setting_announcenotification
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleAssistiveTouchIntent,action_setting_assistivetouch
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleAudioDescriptionsIntent,action_setting_audiodescription
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleAutoAnswerCallsIntent,action_setting_autoanswer
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXSetBackgroundSoundIntent,action_setting_backgroundsound
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXSetBackgroundSoundVolumeIntent,action_setting_backgroundsounds
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleCaptionsIntent,action_setting_captionssdh
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleClassicInvertIntent,action_setting_classicinvert
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleColorFiltersIntent,action_setting_colorfilter
com.apple.Preferences.DeveloperSettingsDeepLink,action_setting_develpersetting
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleLEDFlashIntent,action_setting_flashlight
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleContrastIntent,action_setting_increasecontrast
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXSetLeftRightBalanceIntent,action_setting_leftrightbalance
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleLiveCaptionsIntent,action_setting_livecaption
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXStartMagnifierIntent,action_setting_magnifier
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleMonoAudioIntent,action_setting_monoaudio
com.apple.Preferences.OpenSoundsAndHapticsDeepLinks,action_setting_opens
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleBackgroundSoundsIntent,action_setting_setbackgroundsound
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleSmartInvertIntent,action_setting_smartinvert
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleSoundDetectionIntent,action_setting_soundrecognition
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXSetLargeTextIntent,action_setting_textsize
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleVoiceOverIntent,action_setting_voiceover
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleZoomIntent,action_setting_zoom
is.workflow.actions.setvalueforkey,action_setvalueforkey
is.workflow.actions.setvariable,action_setvariable
is.workflow.actions.setvolume,action_setvolume
is.workflow.actions.share,action_share
com.apple.mobilenotes.ICNotesFolderIntent,action_show_notefolder
com.apple.mobilenotes.ShowQuickNoteIntent,action_show_quicknote
is.workflow.actions.showdefinition,action_showdefinition
is.workflow.actions.showincalendar,action_showincalendar
is.workflow.actions.showinstore,action_showinstore
is.workflow.actions.shownote,action_shownote
is.workflow.actions.showresult,action_showresult
is.workflow.actions.showwebpage,action_showwebpage
is.workflow.actions.skipback,action_skipback
is.workflow.actions.skipforward,action_skipforward
is.workflow.actions.speaktext,action_speaktext
is.workflow.actions.splitpdf,action_splitpdf
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXStartGuidedAccessIntent,action_start_guidedaccess
com.apple.mobiletimer.StartStopwatchIntent,action_start_stopwatch
is.workflow.actions.statistics,action_statistics
is.workflow.actions.stocks.quote,action_stock_quote
com.apple.VoiceMemos.StopRecording,action_stop_recording
com.apple.mobiletimer.StopStopwatchIntent,action_stop_stopwatch
is.workflow.actions.takephoto,action_takephoto
is.workflow.actions.takescreenshot,action_takescreenshot
is.workflow.actions.takevideo,action_takevideo
is.workflow.actions.text.changecase,action_text_changecase
is.workflow.actions.text.combine,action_text_combine
is.workflow.actions.text.match,action_text_match
is.workflow.actions.text.match.getgroup,action_text_match_getgroup
is.workflow.actions.text.replace,action_text_replace
is.workflow.actions.text.split,action_text_split
is.workflow.actions.text.translate,action_text_translate
com.apple.NanoSettings.NPRFSetTheaterModeIntent,action_theatermode
is.workflow.actions.timer.start,action_timer_start
com.apple.mobiletimer-framework.MobileTimerIntents.MTToggleAlarmIntent,action_toggle_turn_alarm
is.workflow.actions.alarm.toggle,action_toggle_turn_alarm
com.apple.ShortcutsActions.SetSilentModeAction,action_toggle_turnsilentmode
com.apple.ShortcutsActions.TranscribeAudioAction,action_transcribe_audio
is.workflow.actions.trimvideo,action_trimvideo
is.workflow.actions.truetone.set,action_truetone_set
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleVoiceControlIntent,action_turn_voicecontrol
is.workflow.actions.unzip,action_unzip
is.workflow.actions.url,action_url
is.workflow.actions.url.expand,action_url_expand
is.workflow.actions.url.getheaders,action_url_getheaders
is.workflow.actions.urlencode,action_urlencode
is.workflow.actions.useractivity.open,action_user_activity_open
is.workflow.actions.venmo.pay,action_venmo_pay
is.workflow.actions.venmo.request,action_venmo_request
is.workflow.actions.vibrate,action_vibrate
is.workflow.actions.viewresult,action_viewresult
is.workflow.actions.vpn.set,action_vpn_set
is.workflow.actions.waittoreturn,action_waittoreturn
is.workflow.actions.wallpaper.set,action_wallpaper_set
is.workflow.actions.properties.weather.conditions,action_weather_condition
is.workflow.actions.weather.currentconditions,action_weather_currentconditions
is.workflow.actions.weather.forecast,action_weather_forecast
com.apple.weather.OpenNotificationsConfigurationIntent,action_weather_notification
com.apple.weather.WeatherIntent,action_weather_weatherintent
is.workflow.actions.text.trimwhitespace,action_trim
net.whatsapp.WhatsApp.openin,action_whatsapp_openin
net.whatsapp.WhatsApp.send,action_whatsapp_send
is.workflow.actions.wifi.set,action_wifi_set
com.alexhay.ToolboxProForShortcuts.AverageColourIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.CreateMatteIntent,action_external_app
com.burbn.instagram.openin,action_external_app
is.workflow.actions.tweet,action_external_app
com.google.chrome.ios.OpenInChromeIntent,action_external_app
is.workflow.actions.shazamMedia,action_external_app
com.apple.TVRemoteUIService.LaunchApplicationIntent,action_external_app
com.apple.TVRemoteUIService.LaunchRemoteIntent,action_external_app
com.openai.chat.AskIntent,action_external_app
com.rivian.ios.consumer.OpenFrunkIntent,action_external_app
com.apple.TVRemoteUIService.WakeAppleTVIntent,action_external_app
com.apple.TVRemoteUIService.SleepAppleTVIntent,action_external_app
com.rivian.ios.consumer.CloseFrunkIntent,action_external_app
com.sindresorhus.Actions.IsReachableIntent,action_external_app
com.google.chrome.ios.openurl,action_external_app
com.alexhay.ToolboxProForShortcuts.CropIntent,action_external_app
dk.simonbs.Scriptable.RunScriptInlineIntent,action_external_app
is.workflow.actions.pocket.add,action_external_app
is.workflow.actions.postonfacebook,action_external_app
is.workflow.actions.imgur.upload,action_external_app
com.microsoft.msedge.OpenInChromeIntent,action_external_app
com.apple.Pages.TSADocumentOpenIntent,action_external_app
com.apple.TVRemoteUIService.PauseContentIntent,action_external_app
com.apple.TVRemoteUIService.SkipContentIntent,action_external_app
com.apple.TVRemoteUIService.LaunchScreenSaverIntent,action_external_app
com.apple.TVRemoteUIService.SwitchUserAccountIntent,action_external_app
com.apple.TVRemoteUIService.ToggleSystemAppearanceIntent,action_external_app
com.apple.TVRemoteUIService.ToggleCaptionsIntent,action_external_app
com.apple.TVRemoteUIService.ReduceLoudSoundsIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.TrimTextIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.InternetConnectionIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.IsVPNConnectedIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.DeviceStorageIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.CheckIfInstalledIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.SortListIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.ViewMapIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.DeviceDetailsIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.PerformCalculationIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.DeviceLanguageIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.BatteryStatusIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.QuickLookExtendedIntent,action_external_app
is.workflow.actions.evernote.get,action_external_app
is.workflow.actions.evernote.delete,action_external_app
is.workflow.actions.evernote.append,action_external_app
com.winterowls.Night-Shift.RandomWallpaperIntent,action_external_app
com.brave.ios.browser.OpenWebsiteIntent,action_external_app
com.google.GoogleMobile.GoogleForQueryIntent,action_external_app
net.shinyfrog.bear-IOS.create,action_external_app
is.workflow.actions.runapplescript,action_external_app
com.sindresorhus.Actions.IsOnlineIntent,action_external_app
com.sindresorhus.Actions.Authenticate,action_external_app
com.sindresorhus.Actions.RemoveNonPrintableCharactersIntent,action_external_app
com.sindresorhus.Actions.RemoveEmojiIntent,action_external_app
com.sindresorhus.Actions.TransformTextIntent,action_external_app
com.tijo.opener.Opener.show-options,action_external_app
com.apple.iBooks.BookAppEntity,action_external_app
com.tapbots.Tweetbot.tweet,action_external_app
com.culturedcode.ThingsTouch.addtask,action_external_app
com.sindresorhus.Actions.IsShakingDevice,action_external_app
dk.simonbs.DataJar.GetValueIntent,action_external_app
dk.simonbs.DataJar.SetValueIntent,action_external_app
com.sindresorhus.Actions.IsCellularDataOn,action_external_app
com.sindresorhus.Actions.IsBluetoothOnIntent,action_external_app
com.sindresorhus.Actions.IsConnectedToVPNIntent,action_external_app
com.sindresorhus.Actions.IsLowPowerModeIntent,action_external_app
com.sindresorhus.Actions.IsSilentModeOnIntent,action_external_app
com.sindresorhus.Actions.IsDarkModeIntent,action_external_app
com.sindresorhus.Actions.GetDeviceOrientationIntent,action_external_app
com.sindresorhus.Actions.GetActionsVersion,action_external_app
com.sindresorhus.Actions.GetBatteryStateIntent,action_external_app
com.sindresorhus.Actions.GetDeviceDetailsExtended,action_external_app
com.apple.news.TagIntent,action_external_app
com.omnigroup.OmniFocus2.iPhone.pastetaskpaper,action_external_app
is.workflow.actions.pocket.get,action_external_app
com.6X.LockLauncher.RefreshActivityIntent,action_external_app
com.adguard.ios.AdGuardVPN.VpnStateIntent,action_external_app
dk.simonbs.DataJar.CheckIfValueExistsIntent,action_external_app
com.todoist.ios.CreateTaskIntent,action_external_app
com.leomehlig.today.AddTaskIntent,action_external_app
com.rivian.ios.consumer.CloseLiftgateIntent,action_external_app
com.phocusllp.due.add,action_external_app
io.pushcut.Pushcut.RunShortcutIntent,action_external_app
com.rivian.ios.consumer.UnlockDoorsIntent,action_external_app
com.microsoft.bing.OpenSydneyIntent,action_external_app
com.sindresorhus.Actions.BlurImages,action_external_app
com.alexhay.ToolboxProForShortcuts.AuthenticateIntent,action_external_app
is.workflow.actions.trello.add.card,action_external_app
com.apple.iBooks.openin,action_external_app
is.workflow.actions.dropbox.open,action_external_app
com.rivian.ios.consumer.LockDoorsIntent,action_external_app
is.workflow.actions.trello.get,action_external_app
is.workflow.actions.properties.trello,action_external_app
com.sindresorhus.Actions.GetAudioPlaybackDestinationIntent,action_external_app
com.sindresorhus.Actions.GetAverageColorOfImage,action_external_app
com.sindresorhus.Actions.CreateColorImageIntent,action_external_app
company.thebrowser.ArcMobile2.SearchIntent,action_external_app
com.apple.Keynote.KNDocumentPlayIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.GetWorkoutsIntent,action_external_app
com.rivian.ios.consumer.OpenLiftgateIntent,action_external_app
is.workflow.actions.todoist.add,action_external_app
com.apple.ShortcutsActions.SetVoiceDataModeAction,action_set_voice_data_mode
com.apple.ShortcutsActions.ToggleCellularPlanAction,action_toggle_cellular_plan
