Action Name,Prompt Description,Action Function,Data Collection,Data Insertion,Data Exfiltration,Resource Control,Trace Hiding
com.apple.ShortcutsActions.GetPhysicalActivity,Get Physical Activity,action_getphysicalactivity,1,,,,
is.workflow.actions.getpodcastsfromlibrary,Get Podcasts from Library,action_getpodcastsfromlibrary,,,,,
is.workflow.actions.getrichtextfromhtml,Make Rich Text from HTML,action_getrichtextfromhtml,,,,,
is.workflow.actions.getrichtextfrommarkdown,Make Rich Text from Markdown,action_getrichtextfrommarkdown,,,,,
is.workflow.actions.gettext,Text,action_gettext,,1,,,
is.workflow.actions.gettextfrompdf,Get Text from PDF,action_gettextfrompdf,1,,,,
is.workflow.actions.gettimebetweendates,Get Time Between Dates,action_gettimebetweendates,,,,,
is.workflow.actions.gettraveltime,Get Travel Time,action_gettraveltime,,,,,
is.workflow.actions.gettypeaction,Get Item Type,action_gettypeaction,,,,,
is.workflow.actions.getupcomingevents,Get Upcoming Events,action_getupcomingevents,1,,,,
is.workflow.actions.getupcomingreminders,Get Upcoming Reminders,action_getupcomingreminders,1,,,,
is.workflow.actions.geturlcomponent,Get Component of URL,action_geturlcomponent,,,,,
is.workflow.actions.getvalueforkey,Get Dictionary Value,action_getvalueforkey,,,,,
is.workflow.actions.getvariable,Get Variable,action_getvariable,,,,,
is.workflow.actions.getwebpagecontents,Get Contents of Web Page,action_getwebpagecontents,,1,,,
is.workflow.actions.getwifi,Get Network Details,action_getwifi,1,,,,
is.workflow.actions.giphy,Find Giphy GIFs,action_giphy,,,,,
is.workflow.actions.handoffplayback,Handoff Playback,action_handoffplayback,,,,1,
is.workflow.actions.hash,Generate Hash,action_hash,,,,,1
is.workflow.actions.health.quantity.log,Log Health Sample,action_health_quantity_log,1,,,,
is.workflow.actions.health.workout.log,Log Workout,action_health_workout_log,1,,,,
is.workflow.actions.workout.start,Start Workout,action_health_workout_log,,,,,
is.workflow.actions.runscene,Run Home Scene,action_health_workout_log,,,,1,
is.workflow.actions.homeaccessory,Control Home,action_homeaccessory,,,,1,
is.workflow.actions.image.combine,Combine Images,action_image_combine,,,,,
is.workflow.actions.image.convert,Convert Image,action_image_convert,,,,,
is.workflow.actions.image.crop,Crop Image,action_image_crop,,,,,
is.workflow.actions.image.flip,Flip Image,action_image_flip,,,,,
is.workflow.actions.image.mask,Mask Image,action_image_mask,,,,,
is.workflow.actions.image.removebackground,Remove Image Background,action_image_removebackground,,,,,
is.workflow.actions.image.rotate,Rotate Image/Video,action_image_rotate,,,,,
is.workflow.actions.intercom,Intercom,action_intercom,,,,,
com.apple.mobiletimer.LapStopwatchIntent,Lap Stopwatch,action_lap_stopwatch,,,,1,
is.workflow.actions.list,List,action_list,,,,,
is.workflow.actions.listeningmode.set,Set Noise Control Mode,action_listeningmode_set,,,,1,
is.workflow.actions.location,Location,action_location,,,,,
is.workflow.actions.lockscreen,Lock Screen,action_lockscreen,,,,1,
is.workflow.actions.lowpowermode.set,Set Low Power Mode,action_lowpowermode_set,,,,1,
is.workflow.actions.makegif,Make GIF,action_makegif,,,,,
is.workflow.actions.makeimagefrompdfpage,Make Image from PDF Page,action_makeimagefrompdfpage,,,,,
is.workflow.actions.makeimagefromrichtext,Make Image from Rich Text,action_makeimagefromrichtext,,,,,
is.workflow.actions.makepdf,Make PDF,action_makepdf,,,,,
is.workflow.actions.makespokenaudiofromtext,Make Spoken Audio from Text,action_makespokenaudiofromtext,,,,,
is.workflow.actions.makevideofromgif,Make Video from GIF,action_makevideofromgif,,,,,
is.workflow.actions.makezip,Make Archive,action_makezip,,,,,
is.workflow.actions.math,Calculate,action_math,,,,,
is.workflow.actions.measurement.convert,Convert Measurement,action_measurement_convert,,,,,
is.workflow.actions.measurement.create,Measurement,action_measurement_create,,,,,
com.apple.mobileslideshow.StreamShareService,Post to Shared Album,action_mobileslideshow_streamshareservice,,,1,,
com.apple.mobilenotes.MoveNotesToFolderLinkAction,Move Notes to Folder,action_move_notes,,,,1,
is.workflow.actions.nightshift.set,Set Night Shift,action_nightshift_set,,,,1,
com.apple.mobilenotes.ChangeSettingLinkAction,Change Notes Setting,action_note_changesetting,,,,1,
com.apple.mobilenotes.OpenAccountLinkAction,Open Account,action_note_openaccount,,,,,
is.workflow.actions.nothing,Nothing,action_nothing,,,,,
is.workflow.actions.notification,Show Notification,action_notification,,,,,
is.workflow.actions.number,Number,action_number,,,,,
is.workflow.actions.number.random,Random Number between,action_number_random,,,,,
com.apple.ShortcutsActions.OpenCameraAction,Open Camera Mode,action_open_camera,1,,,1,
com.apple.Passbook.OpenPassIntent,Open Card,action_open_card,,,,1,
com.apple.mobilemail.OpenMailboxEntityAction,Open Mailbox,action_open_mailbox,,,,1,
com.apple.reminders.TTROpenSmartListAppIntent,Open Smart List,action_open_smartlist,,,,1,
com.apple.mobilenotes.OpenTagLinkAction,Open Tag,action_open_tag_notes,,,,1,
com.apple.mobilenotes.OpenAppLocationLinkAction,Open Notes View,action_open_view_note,,,,1,
is.workflow.actions.openapp,Open App,action_openapp,,,,1,
is.workflow.actions.openin,Open File,action_openin,,,,1,
is.workflow.actions.openpasswords,Show Passwords,action_openpasswords,1,,,,
com.apple.mobiletimer.OpenTab,Open Tab,action_opentab,,,,1,
is.workflow.actions.openurl,Open URLs,action_openurl,,1,1,1,
is.workflow.actions.openworkflow,Open Shortcut,action_openworkflow,,,,1,
is.workflow.actions.openxcallbackurl,Open X-Callback URL,action_openxcallbackurl,,1,1,1,
is.workflow.actions.orientationlock.set,Set Orientation Lock,action_orientationlock_set,,,,1,
is.workflow.actions.output,Stop and Output,action_output,,,1,1,
is.workflow.actions.overlayimageonimage,Overlay Image,action_overlayimageonimage,,,,,
is.workflow.actions.overlaytext,Overlay Text,action_overlaytext,,,,,
com.apple.mobiletimer.PauseTimerIntent,Pause Timer,action_pause_timer,,,,1,
is.workflow.actions.pausemusic,Play/Pause,action_pausemusic,,,,1,
is.workflow.actions.personalhotspot.password.get,Get Hotspot Password,action_personalhotspot_password_get,1,,,,
is.workflow.actions.personalhotspot.password.set,Set Hotspot Password,action_personalhotspot_password_get,,,,1,
is.workflow.actions.personalhotspot.set,Set Personal Hotspot,action_personalhotspot_set,,,,1,
is.workflow.actions.phonenumber,Phone Number,action_phonenumber,,,,,
is.workflow.actions.photos.createalbum,Create Album,action_photo_createalbum,,,,1,
com.apple.NanoSettings.NPRFPingMyPhoneIntent,Ping My Phone with lights on Watch,action_pingmyphone,,,,1,
com.apple.VoiceMemos.PlaybackVoiceMemoIntent,Play Recording,action_play_recording,,,,1,
is.workflow.actions.playmusic,Play Music,action_playmusic,,,,1,
is.workflow.actions.playpodcast,Play Podcast,action_playpodcast,,,,1,
is.workflow.actions.playsound,Play Sound,action_playsound,,,1,1,
is.workflow.actions.podcasts.subscribe,Follow Podcast,action_podcasts_subscribe,,,,1,
is.workflow.actions.posters.get,Get All Wallpapers,action_posters_get,1,,,,
is.workflow.actions.posters.switch,Switch Between Wallpapers,action_posters_switch,,,,1,
is.workflow.actions.previewdocument,Quick Look,action_previewdocument,,,1,1,
is.workflow.actions.print,Print,action_print,,,,1,
is.workflow.actions.properties.appstore,Get Details of Apple Store App,action_properties_appstore,,,,,
is.workflow.actions.properties.articles,Get Details of Article,action_properties_articles,,,,,
is.workflow.actions.properties.calendarevents,Get Details of Calendar Events,action_properties_calendarevents,,,,,
is.workflow.actions.properties.contacts,Get Details of Contact,action_properties_contacts,,,,,
is.workflow.actions.properties.eventattendees,Get Details of Event Attendees,action_properties_eventattendees,,,,,
is.workflow.actions.properties.files,Get Details of File,action_properties_files,,,,,
is.workflow.actions.properties.health.quantity,Get Details of Health Sample,action_properties_health_quantity,,,,,
is.workflow.actions.properties.images,Get Details of Image,action_properties_images,,,,,
is.workflow.actions.properties.itunesstore,Get Details of iTunes Store Item,action_properties_itunes,,,,,
is.workflow.actions.properties.locations,Get Details of Location,action_properties_location,,,,,
is.workflow.actions.properties.music,Get Details of Music,action_properties_music,,,,,
is.workflow.actions.properties.parkedcar,Get Details of Parked Car,action_properties_parkedcar,,,,,
is.workflow.actions.properties.podcast,Get Details of Podcast Episode,action_properties_podcast,,,,,
is.workflow.actions.properties.podcastshow,Get Details of Podcast,action_properties_podcasthow,,,,,
is.workflow.actions.properties.reminders,Get Details of Reminder,action_properties_reminders,,,,,
is.workflow.actions.properties.safariwebpage,Get Details of Safari Web Page,action_properties_safariwebpage,,,,,
is.workflow.actions.readinglist,Add to Reading List,action_readinglist,,,,1,
is.workflow.actions.reboot,Shutdown,action_reboot,,,,1,
com.apple.musicrecognition.RecognizeMusicIntent,Recognize Music,action_recognize_music,,,,,
is.workflow.actions.recordaudio,Record Audio,action_recordaudio,1,,,,
is.workflow.actions.reminders.showlist,Open Reminders List,action_reminders_showlist,,,,1,
com.apple.mobilenotes.RemoveTagsFromNotesLinkAction,Remove Tags from Notes,action_remove_tag_notes,,,,1,
is.workflow.actions.removeevents,Remove Events,action_removeevents,,,,1,
is.workflow.actions.removefromalbum,Remove from Photo Album,action_removefromalbum,,,,1,
is.workflow.actions.removereminders,Remove Reminders,action_removereminders,,,,1,
is.workflow.actions.repeat.count,Repeat,action_repeat_count,,,,,
is.workflow.actions.repeat.each,Repeat with Each,action_repeat_each,,,,,
is.workflow.actions.ride.requestride,Request Ride,action_requestride,,,,1,
com.apple.ShortcutsActions.ResetCellularDataStatisticsAction,Reset Cellular Data Statistics,action_reset_cellulardata_statistics,,,,1,
com.apple.shortcuts.ResetCellularDataStatisticsAction,Reset Cellular Data Statistics,action_reset_cellulardata_statistics,,,,1,
com.apple.mobiletimer.ResetStopwatchIntent,Reset Stopwatch,action_reset_stopwatch,,,,1,
is.workflow.actions.image.resize,Resize Image,action_resize,,,,,
com.apple.mobiletimer.ResumeTimerIntent,Resume Timer,action_resume_timer,,,,1,
is.workflow.actions.returntohomescreen,Go to Home Screen,action_returntohomescreen,,,,1,
is.workflow.actions.round,Round Number,action_round,,,,,
is.workflow.actions.rss,Get Items from RSS Feed,action_rss,,,,,
is.workflow.actions.rss.extract,Get RSS Feed from Page,action_rss_extract,,,,,
is.workflow.actions.runextension,Share with Apps,action_runextension,,,1,,
is.workflow.actions.runjavascriptonwebpage,Run JavaScript on Active Safari Tab,action_runjavascriptonwebpage,,1,1,1,1
is.workflow.actions.runsshscript,Run Script over SSH,action_runsshscript,,1,1,1,1
is.workflow.actions.runworkflow,Run Shortcut,action_runworkflow,,,,1,
com.apple.mobilesafari.CloseTab,Close Safari Tab,action_safari_closetab,,,,1,
is.workflow.actions.savetocameraroll,Save to Photo Album,action_savetocameraroll,,1,,,
is.workflow.actions.scanbarcode,Scan QR or Barcode,action_scanbarcode,,,,,
com.apple.reminders.TTRSearchRemindersAppIntent,Search Reminders,action_search_inreminder,,,,,
com.apple.mobilemail.SearchMessagesAction,Search in Mail,action_search_message_mail,,,,,
com.apple.shortcuts.SearchShortcutsAction,Search in Shortcuts,action_search_shortcut,,,,,
is.workflow.actions.searchappstore,Find Apple Store Apps,action_searchappstore,,,,,
com.apple.DocumentsApp.SearchFile,Search in Files,action_searchfile,,,,,
is.workflow.actions.searchitunes,Find iTunes Store Items,action_searchitunes,,,,,
is.workflow.actions.searchlocalbusinesses,Find Places,action_searchlocalbusinesses,,,,,
is.workflow.actions.searchmaps,Open in Maps,action_searchmap,,,,,
is.workflow.actions.searchpodcasts,Find Podcasts,action_searchpodcasts,,,,,
is.workflow.actions.searchweb,Search Web,action_searchweb,,,,,
is.workflow.actions.seek,Seek,action_seek,,,,,
com.apple.VoiceMemos.SelectRecording,Select Recording,action_select_recording,1,,,,
is.workflow.actions.selectcontacts,Select Contact,action_selectcontacts,1,,,,
is.workflow.actions.selectemail,Select Email Address,action_selectemail,1,,,,
is.workflow.actions.selectphone,Select Phone Number,action_selectphone,1,,,,
is.workflow.actions.selectphoto,Select Photos,action_selectphoto,1,,,,
is.workflow.actions.sendemail,Send Email,action_sendemail,,1,1,,
is.workflow.actions.sendmessage,Send Message,action_sendmessage,,1,1,,
com.apple.mobilecal.SetCalendarFocusConfiguration,Set Calendar Focus Filter,action_set_calendar_focus,,,,1,
is.workflow.actions.setters.contacts,Edit Contact,action_set_contact,,,,1,
com.apple.NanoSettings.NPRFSetSchoolTimeIntent,Set School Time on Watch,action_set_schooltime,,,,1,
com.apple.NanoSettings.NPRFSetWaterLockIntent,Set Water Lock on Watch,action_set_waterlock,,,,1,
is.workflow.actions.setairdropreceiving,Set AirDrop Receiving,action_setairdroppreceiving,,,,1,
is.workflow.actions.setbrightness,Set Brightness,action_setbrightness,,,,1,
is.workflow.actions.setclipboard,Copy to Clipboard,action_setclipboard,,,,1,
com.apple.ShortcutsActions.SetDataRoamingAction,Set Data Roaming,action_setdataroaming,,,,1,
com.apple.NanoSettings.NPRFSetFlashLightIntent,Set Flashlight on Watch,action_setflashlight,,,,1,
is.workflow.actions.setitemname,Set Name,action_setitemname,,,,,
is.workflow.actions.setparkedcar,Set Parked Car,action_setparkedcar,,,,1,
is.workflow.actions.setplaybackdestination,Change Playback Destination,action_setplaybackdestination,,,,1,
is.workflow.actions.setters.calendarevents,Edit Calendar Event,action_setters_calendarevents,,,,1,
is.workflow.actions.setters.reminders,Edit Reminder,action_setters_reminders,,,,1,
is.workflow.actions.announcenotifications.set,Set Announce Notifications,action_setting_announcenotification,,,,1,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleAssistiveTouchIntent,Set AssistiveTouch,action_setting_assistivetouch,,,,1,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleAudioDescriptionsIntent,Set Audio Descriptions,action_setting_audiodescription,,,,1,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleAutoAnswerCallsIntent,Auto-Answer Calls,action_setting_autoanswer,,,,1,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXSetBackgroundSoundIntent,Change Background Sounds,action_setting_backgroundsound,,,,1,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXSetBackgroundSoundVolumeIntent,Set Background Sound Volume,action_setting_backgroundsounds,,,,1,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleCaptionsIntent,Set Closed Captions+SDH,action_setting_captionssdh,,,,1,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleClassicInvertIntent,Set Classic Invert,action_setting_classicinvert,,,,1,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleColorFiltersIntent,Set Color Filters,action_setting_colorfilter,,,,1,
com.apple.Preferences.DeveloperSettingsDeepLink,Find Developer Settings,action_setting_develpersetting,1,,,,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleLEDFlashIntent,Set LED Flash,action_setting_flashlight,,,,1,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleContrastIntent,Set Increase Contrast,action_setting_increasecontrast,,,,1,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXSetLeftRightBalanceIntent,Set Left/Right Audio Balance,action_setting_leftrightbalance,,,,1,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleLiveCaptionsIntent,Set Live Captions,action_setting_livecaption,,,,1,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXStartMagnifierIntent,Open Magnifier,action_setting_magnifier,,,,1,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleMonoAudioIntent,Set Mono Audio,action_setting_monoaudio,,,,1,
com.apple.Preferences.OpenSoundsAndHapticsDeepLinks,Open Sounds & Haptics Settings,action_setting_opens,,,,,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleBackgroundSoundsIntent,Set Background Sounds,action_setting_setbackgroundsound,,,,1,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleSmartInvertIntent,Set Smart Invert,action_setting_smartinvert,,,,1,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleSoundDetectionIntent,Set Sound Detection,action_setting_soundrecognition,,,,1,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXSetLargeTextIntent,Set Text Size,action_setting_textsize,,,,1,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleVoiceOverIntent,Set VoiceOver,action_setting_voiceover,,,,1,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleZoomIntent,Set Zoom,action_setting_zoom,,,,1,
is.workflow.actions.setvalueforkey,Set Dictionary Value,action_setvalueforkey,,,,,
is.workflow.actions.setvariable,Set Variable,action_setvariable,,,,,
is.workflow.actions.setvolume,Set Volume,action_setvolume,,,,1,
