Action Name,Prompt Description,Action Function,Data Collection,Data Insertion,Data Exfiltration,Resource Control,Trace Hiding
is.workflow.actions.filter.locations,Filter Locations,action_filter_locations,1.0,,,,
is.workflow.actions.ride.requestride,Request Ride,action_requestride,,,,1.0,
is.workflow.actions.properties.locations,Get Details of Location,action_properties_location,,,,,
is.workflow.actions.location,Location,action_location,,,,,
is.workflow.actions.getmapslink,Get Maps URL,action_getmapslink,,,,,
is.workflow.actions.address,Street Address,action_address,,,,,
is.workflow.actions.detect.address,Get Address from Input,action_detect_address,,,,,
is.workflow.actions.getdistance,Get Distance,action_getdistance,,,,,
is.workflow.actions.gethalfwaypoint,Get Halfway Point,action_gethalfwaypoint,,,,,
is.workflow.actions.gettraveltime,Get Travel Time,action_gettraveltime,,,,,
is.workflow.actions.getparkedcarlocation,Get Parked Car Location,action_getparkedcarlocation,1.0,,,,
is.workflow.actions.properties.parkedcar,Get Details of Parked Car,action_properties_parkedcar,,,,,
is.workflow.actions.setparkedcar,Set Parked Car,action_setparkedcar,,,,1.0,
is.workflow.actions.share,Share,action_share,,,1.0,,
is.workflow.actions.runextension,Share with Apps,action_runextension,,,1.0,,
is.workflow.actions.sendemail,Send Email,action_sendemail,,1.0,1.0,,
is.workflow.actions.airdropdocument,AirDrop,action_airdropdocument,,,1.0,,
com.apple.mobileslideshow.StreamShareService,Post to Shared Album,action_mobileslideshow_streamshareservice,,,1.0,,
is.workflow.actions.generatebarcode,Generate QR Code,action_generatebarcode,,1.0,,,1.0
is.workflow.actions.scanbarcode,Scan QR or Barcode,action_scanbarcode,,,,,
is.workflow.actions.print,Print,action_print,,,,1.0,
is.workflow.actions.avairyeditphoto,Markup,action_avairyeditphoto,,1.0,,,
is.workflow.actions.makepdf,Make PDF,action_makepdf,,,,,
is.workflow.actions.compresspdf,Optimize File Size of PDF,action_compresspdf,,,,,
is.workflow.actions.splitpdf,Split PDF into Pages,action_splitpdf,,,,,
is.workflow.actions.gettextfrompdf,Get Text from PDF,action_gettextfrompdf,1.0,,,,
is.workflow.actions.file,File,action_file,,,,,
is.workflow.actions.file.select,Select File,action_file_select,1.0,,,,
is.workflow.actions.file.move,Move File,action_file_move,,,,1.0,
is.workflow.actions.file.rename,Rename File,action_file_rename,,,,1.0,
is.workflow.actions.documentpicker.save,Save File,action_documentpicker_save,,1.0,,1.0,
is.workflow.actions.file.delete,Delete Files,action_file_delete,,,,1.0,
is.workflow.actions.file.getlink,Get Link to File,action_file_getlink,1.0,,,,
is.workflow.actions.file.createfolder,Create Folder,action_file_createfolder,,1.0,,,
is.workflow.actions.file.getfoldercontents,Get Contents of Folder,action_file_getfoldercontents,1.0,,,,
is.workflow.actions.openin,Open File,action_openin,,,,1.0,
is.workflow.actions.file.append,Append to Text File,action_file_append,,1.0,,,
is.workflow.actions.makezip,Make Archive,action_makezip,,,,,
is.workflow.actions.unzip,Extract Archive,action_unzip,,,,,
is.workflow.actions.documentpicker.open,Get File from Folder,action_documentpicker_open,1.0,,,,
is.workflow.actions.properties.files,Get Details of File,action_properties_files,,,,,
is.workflow.actions.filter.files,Filter Files,action_filter_files,1.0,,,,
is.workflow.actions.gethtmlfromrichtext,Make HTML from Rich Text,action_gethtmlfromrichtext,,,,,
is.workflow.actions.getmarkdownfromrichtext,Make Markdown from Rich Text,action_getmarkdownfromrichtext,,,,,
is.workflow.actions.getrichtextfrommarkdown,Make Rich Text from Markdown,action_getrichtextfrommarkdown,,,,,
is.workflow.actions.getrichtextfromhtml,Make Rich Text from HTML,action_getrichtextfromhtml,,,,,
is.workflow.actions.searchweb,Search Web,action_searchweb,,,,,
is.workflow.actions.openurl,Open URLs,action_openurl,,1.0,1.0,1.0,
is.workflow.actions.giphy,Find Giphy GIFs,action_giphy,,,,,
is.workflow.actions.showwebpage,Show Web View,action_showwebpage,,,1.0,,
is.workflow.actions.readinglist,Add to Reading List,action_readinglist,,,,"",
is.workflow.actions.rss,Get Items from RSS Feed,action_rss,,,,,
is.workflow.actions.rss.extract,Get RSS Feed from Page,action_rss_extract,,,,,
is.workflow.actions.filter.articles,Filter Articles,action_filter_articles,1.0,,,,
is.workflow.actions.properties.articles,Get Details of Article,action_properties_articles,,,,,
is.workflow.actions.url,URL,action_url,,,,,
is.workflow.actions.detect.link,Get URLs from Input,action_detect_link,,,,,
is.workflow.actions.geturlcomponent,Get Component of URL,action_geturlcomponent,,,,,
is.workflow.actions.url.expand,Expand URL,action_url_expand,,,,,
is.workflow.actions.downloadurl,Get Contents of URL,action_downloadurl,,1.0,,,
is.workflow.actions.url.getheaders,Get Headers of URL,action_url_getheaders,,,,,
is.workflow.actions.getwebpagecontents,Get Contents of Web Page,action_getwebpagecontents,,1.0,,,
is.workflow.actions.properties.safariwebpage,Get Details of Safari Web Page,action_properties_safariwebpage,,,,,
is.workflow.actions.runjavascriptonwebpage,Run JavaScript on Active Safari Tab,action_runjavascriptonwebpage,,1.0,1.0,1.0,1.0
is.workflow.actions.filter.images,Filter Images,action_filter_images,1.0,,,,
is.workflow.actions.properties.images,Get Details of Image,action_properties_images,,,,,
is.workflow.actions.detect.images,Get Images from Input,action_detect_images,,,,,
is.workflow.actions.makeimagefromrichtext,Make Image from Rich Text,action_makeimagefromrichtext,,,,,
is.workflow.actions.makeimagefrompdfpage,Make Image from PDF Page,action_makeimagefrompdfpage,,,,,
is.workflow.actions.extracttextfromimage,Extract Text from Image,action_extracttextfromimage,,,,,
is.workflow.actions.image.combine,Combine Images,action_image_combine,,,,,
is.workflow.actions.image.crop,Crop Image,action_image_crop,,,,,
is.workflow.actions.image.flip,Flip Image,action_image_flip,,,,,
is.workflow.actions.image.mask,Mask Image,action_image_mask,,,,,
is.workflow.actions.overlayimageonimage,Overlay Image,action_overlayimageonimage,,,,,
is.workflow.actions.overlaytext,Overlay Text,action_overlaytext,,,,,
is.workflow.actions.image.rotate,Rotate Image/Video,action_image_rotate,,,,,
is.workflow.actions.image.removebackground,Remove Image Background,action_image_removebackground,,,,,
is.workflow.actions.makegif,Make GIF,action_makegif,,,,,
is.workflow.actions.makevideofromgif,Make Video from GIF,action_makevideofromgif,,,,,
is.workflow.actions.addframetogif,Add Frame to GIF,action_addframetogif,,1.0,,,
is.workflow.actions.getframesfromimage,Get Frames from Image,action_getframesfromimage,,,,,
is.workflow.actions.selectphoto,Select Photos,action_selectphoto,1.0,,,,
is.workflow.actions.filter.photos,Find Photos,action_filter_photos,1.0,,,,
is.workflow.actions.getlastvideo,Get Latest Videos,action_getlastvideo,1.0,,,,
is.workflow.actions.getlastscreenshot,Get Latest Screenshots,action_getlastscreenshot,1.0,,,,
is.workflow.actions.getlatestbursts,Get Latest Bursts,action_getlatestburst,1.0,,,,
is.workflow.actions.getlatestlivephotos,Get Latest Live Photos,action_getlatestlivephotos,1.0,,,,
is.workflow.actions.getlatestphotoimport,Get Last Import,action_getlatestphotoimport,1.0,,,,
is.workflow.actions.removefromalbum,Remove from Photo Album,action_removefromalbum,,,,1.0,
is.workflow.actions.deletephotos,Delete Photos,action_deletephoto,,,,1.0,
is.workflow.actions.savetocameraroll,Save to Photo Album,action_savetocameraroll,,1.0,,,
is.workflow.actions.encodemedia,Encode Media,action_encodemedia,,,,,1.0
is.workflow.actions.trimvideo,Trim Media,action_trimvideo,,,,,
is.workflow.actions.setvolume,Set Volume,action_setvolume,,,,1.0,
is.workflow.actions.pausemusic,Play/Pause,action_pausemusic,,,,1.0,
is.workflow.actions.seek,Seek,action_seek,,,,,
is.workflow.actions.skipback,Skip Back,action_skipback,,,,1.0,
is.workflow.actions.skipforward,Skip Forward,action_skipforward,,,,1.0,
is.workflow.actions.listeningmode.set,Set Noise Control Mode,action_listeningmode_set,,,,1.0,
is.workflow.actions.handoffplayback,Handoff Playback,action_handoffplayback,,,,1.0,
is.workflow.actions.setplaybackdestination,Change Playback Destination,action_setplaybackdestination,,,,1.0,
is.workflow.actions.exportsong,Select Music,action_exportsong,,,,,
is.workflow.actions.filter.music,Find Music,action_filter_music,1.0,,,,
is.workflow.actions.addmusictoupnext,Add to Playing Next,action_addmusictoupnext,,,,1.0,
is.workflow.actions.clearupnext,Clear Playing Next,action_clearupnext,,,,1.0,
is.workflow.actions.getcurrentsong,Get Current Song,action_getcurrentsong,1.0,,,,
is.workflow.actions.properties.music,Get Details of Music,action_properties_music,,,,,
is.workflow.actions.addtoplaylist,Add to Playlist,action_addtoplaylist,,1.0,,,
is.workflow.actions.createplaylist,Create Playlist,action_createplaylist,,1.0,,,
is.workflow.actions.get.playlist,Get Playlist,action_get_playlist,,,,,
is.workflow.actions.searchpodcasts,Find Podcasts,action_searchpodcasts,,,,,
is.workflow.actions.podcasts.subscribe,Follow Podcast,action_podcasts_subscribe,,,,1.0,
is.workflow.actions.playpodcast,Play Podcast,action_playpodcast,,,,1.0,
is.workflow.actions.getepisodesforpodcast,Get Episodes of Podcast,action_getepisodesforpodcast,,,,,
is.workflow.actions.getpodcastsfromlibrary,Get Podcasts from Library,action_getpodcastsfromlibrary,,,,,
is.workflow.actions.properties.podcastshow,Get Details of Podcast,action_properties_podcasthow,,,,,
is.workflow.actions.properties.podcast,Get Details of Podcast Episode,action_properties_podcast,,,,,
is.workflow.actions.searchappstore,Find Apple Store Apps,action_searchappstore,,,,,
is.workflow.actions.properties.appstore,Get Details of Apple Store App,action_properties_appstore,,,,,
is.workflow.actions.filter.health.quantity,Find Health Samples,action_filter_health_quality,1.0,,,,
is.workflow.actions.health.quantity.log,Log Health Sample,action_health_quantity_log,1.0,,,,
is.workflow.actions.health.workout.log,Log Workout,action_health_workout_log,1.0,,,,
is.workflow.actions.properties.health.quantity,Get Details of Health Sample,action_properties_health_quantity,,,,,
is.workflow.actions.addnewcalendar,Add New Calendar,action_addnewcalendar,,1.0,,,
is.workflow.actions.addnewevent,Add New Event,action_addnewevent,,1.0,,,
is.workflow.actions.setters.calendarevents,Edit Calendar Event,action_setters_calendarevents,,,,"",
is.workflow.actions.filter.eventattendees,Filter Event Attendees,action_filter_eventattendees,1.0,,,,
is.workflow.actions.properties.calendarevents,Get Details of Calendar Events,action_properties_calendarevents,,,,,
is.workflow.actions.properties.eventattendees,Get Details of Event Attendees,action_properties_eventattendees,,,,,
is.workflow.actions.getupcomingevents,Get Upcoming Events,action_getupcomingevents,1.0,,,,
is.workflow.actions.showincalendar,Open in Calendar,action_showincalendar,,,1.0,,
is.workflow.actions.removeevents,Remove Events,action_removeevents,,,,1.0,
com.apple.mobilecal.SetCalendarFocusConfiguration,Set Calendar Focus Filter,action_set_calendar_focus,,,,1.0,
is.workflow.actions.filter.calendarevents,Find Calendar Events,action_filter_calendarevents,1.0,,,,
com.apple.mobiletimer-framework.MobileTimerIntents.MTGetAlarmsIntent,Find Alarms,action_filter_alarms,1.0,,,,
com.apple.mobiletimer.EditSleepAlarmIntent,Edit Sleep Alarm,action_edit_alarm,,,,"",
com.apple.mobiletimer-framework.MobileTimerIntents.MTToggleAlarmIntent,Toggle Alarm,action_toggle_turn_alarm,,,,1.0,
com.apple.mobiletimer.LapStopwatchIntent,Lap Stopwatch,action_lap_stopwatch,,,,1.0,
com.apple.mobiletimer.ResetStopwatchIntent,Reset Stopwatch,action_reset_stopwatch,,,,1.0,
com.apple.mobiletimer.StartStopwatchIntent,Start Stopwatch,action_start_stopwatch,,,,1.0,
com.apple.mobiletimer.StopStopwatchIntent,Stop Stopwatch,action_stop_stopwatch,,,,1.0,
com.apple.mobiletimer.OpenTab,Open Tab,action_opentab,,,,1.0,
com.apple.mobiletimer.CancelTimerIntent,Cancel Timer,action_cancel_timer,,,,1.0,
com.apple.mobiletimer.GetCurrentTimerDetailsIntent,Get Current Timer,action_get_detail_timer,,,,,
com.apple.mobiletimer.PauseTimerIntent,Pause Timer,action_pause_timer,,,,1.0,
com.apple.mobiletimer.ResumeTimerIntent,Resume Timer,action_resume_timer,,,,1.0,
is.workflow.actions.timer.start,Start Timer,action_timer_start,,,,1.0,
com.apple.facetime.facetime,FaceTime,action_facetime,,,1.0,"",
is.workflow.actions.homeaccessory,Control Home,action_homeaccessory,,,,"",
is.workflow.actions.gethomeaccessorystate,Get State of Home,action_gethomeaccessory,1.0,,,,
is.workflow.actions.intercom,Intercom,action_intercom,,,,,
is.workflow.actions.email,Email Address,action_email,,,,,
is.workflow.actions.detect.emailaddress,Get Email Address from Input,action_detect_emailaddress,,,,,
com.apple.mobilemail.OpenMailboxEntityAction,Open Mailbox,action_open_mailbox,,,,1.0,
com.apple.mobilemail.SearchMessagesAction,Search in Mail,action_search_message_mail,,,,,
is.workflow.actions.selectemail,Select Email Address,action_selectemail,1.0,,,,
com.apple.mobilemail.MailFocusConfigurationAction,Set Mail Focus Filter,action_change_focus_mail,,,,"",
is.workflow.actions.useractivity.open,Open User Activity,action_user_activity_open,,,,,
is.workflow.actions.appendnote,Append to Note,action_appendnote,,1.0,,,
com.apple.mobilenotes.SharingExtension,Create Note,action_createnote,,1.0,,,
com.apple.mobilenotes.DeleteNotesLinkAction,Delete Notes,action_deletenote,,,,1.0,
is.workflow.actions.filter.notes,Find Notes,action_filter_notes,1.0,,,,
is.workflow.actions.shownote,Open Note,action_shownote,,,1.0,,
com.apple.mobilenotes.PinNotesLinkAction,Pin Notes,action_add_to_pinnote,,1.0,,,
com.apple.mobilenotes.ICNotesFolderIntent,Show Notes Folder,action_show_notefolder,,,,,
com.apple.mobilenotes.ShowQuickNoteIntent,Show Quick Note,action_show_quicknote,,,1.0,1.0,
com.apple.mobilenotes.OpenAccountLinkAction,Open Account,action_note_openaccount,,,,,
com.apple.mobilenotes.ChangeSettingLinkAction,Change Notes Setting,action_note_changesetting,,,,"",
com.apple.mobilenotes.OpenAppLocationLinkAction,Open Notes View,action_open_view_note,,,,1.0,
com.apple.mobilenotes.CreateFolderLinkAction,Create Folder,action_create_note_folder,,1.0,,,
com.apple.mobilenotes.DeleteFoldersLinkAction,Delete Folders,action_delete_note_folder,,,,1.0,
com.apple.mobilenotes.MoveNotesToFolderLinkAction,Move Notes to Folder,action_move_notes,,,,1.0,
com.apple.mobilenotes.AddTagsToNotesLinkAction,Add Tags to Notes,action_add_tag_notes,,1.0,,,
com.apple.mobilenotes.DeleteTagsLinkAction,Delete Tags,action_delete_tag_notes,,,,1.0,
com.apple.mobilenotes.CreateTagLinkAction,Create Tag,action_create_tag_notes,,1.0,,,
com.apple.mobilenotes.OpenTagLinkAction,Open Tag,action_open_tag_notes,,,,1.0,
com.apple.mobilenotes.RemoveTagsFromNotesLinkAction,Remove Tags from Notes,action_remove_tag_notes,,,,"",
is.workflow.actions.weather.currentconditions,Get Current Weather,action_weather_currentconditions,,,,,
is.workflow.actions.weather.forecast,Get Weather Forecast,action_weather_forecast,,,,,
is.workflow.actions.properties.weather.conditions,Get Details of Weather Conditions,action_weather_condition,,,,,
com.apple.weather.OpenNotificationsConfigurationIntent,Open Notifications Configuration,action_weather_notification,,,,,
com.apple.weather.WeatherIntent,Show Weather,action_weather_weatherintent,,,,,
com.apple.Passbook.OpenPassIntent,Open Card,action_open_card,,,,1.0,
is.workflow.actions.openpasswords,Show Passwords,action_openpasswords,1.0,,,,
is.workflow.actions.venmo.request,Request Money,action_venmo_request,,,,,
is.workflow.actions.venmo.pay,Send Payment,action_venmo_pay,,1.0,1.0,,
com.apple.ShortcutsActions.SetDataRoamingAction,Set Data Roaming,action_setdataroaming,,,,1.0,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleLEDFlashIntent,Set LED Flash,action_setting_flashlight,,,,1.0,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleClassicInvertIntent,Set Classic Invert,action_setting_classicinvert,,,,1.0,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleColorFiltersIntent,Set Color Filters,action_setting_colorfilter,,,,1.0,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleContrastIntent,Set Increase Contrast,action_setting_increasecontrast,,,,1.0,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleSmartInvertIntent,Set Smart Invert,action_setting_smartinvert,,,,1.0,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXSetLargeTextIntent,Set Text Size,action_setting_textsize,,,,1.0,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleAutoAnswerCallsIntent,Auto-Answer Calls,action_setting_autoanswer,,,,1.0,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXSetBackgroundSoundIntent,Change Background Sounds,action_setting_backgroundsound,,,,1.0,
com.apple.Preferences.DeveloperSettingsDeepLink,Find Developer Settings,action_setting_develpersetting,1.0,,,,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXStartMagnifierIntent,Open Magnifier,action_setting_magnifier,,,,1.0,
com.apple.Preferences.OpenSoundsAndHapticsDeepLinks,Open Sounds & Haptics Settings,action_setting_opens,,,,,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleAssistiveTouchIntent,Set AssistiveTouch,action_setting_assistivetouch,,,,1.0,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleAudioDescriptionsIntent,Set Audio Descriptions,action_setting_audiodescription,,,,1.0,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXSetBackgroundSoundVolumeIntent,Set Background Sound Volume,action_setting_backgroundsounds,,,,1.0,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXSetLeftRightBalanceIntent,Set Left/Right Audio Balance,action_setting_leftrightbalance,,,,1.0,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleCaptionsIntent,Set Closed Captions+SDH,action_setting_captionssdh,,,,1.0,
is.workflow.actions.comment,Comment,action_comment,,,,,
is.workflow.actions.format.number,Format Number,action_format_number,,,,,
is.workflow.actions.detect.number,Get Number from Input,action_detect_number,,,,,
is.workflow.actions.math,Calculate,action_math,,,,,
is.workflow.actions.calculateexpression,Calculate Expression,action_calculateexpression,,,,,
com.apple.mobilephone.call,Call,action_call,,,1.0,1.0,
net.whatsapp.WhatsApp.send,Send WhatsApp Message,action_whatsapp_send,,1.0,1.0,,
net.whatsapp.WhatsApp.openin,Send Photo via WhatsApp,action_whatsapp_openin,,1.0,1.0,,
is.workflow.actions.addnewreminder,Add New Reminder,action_addnewreminder,,1.0,,,
com.apple.reminders.TTRCreateListAppIntent,Create Reminder List,action_create_remainderlist,,1.0,,,
is.workflow.actions.setters.reminders,Edit Reminder,action_setters_reminders,,,,"",
is.workflow.actions.filter.reminders,Find Reminders,action_filter_reminders,1.0,,,,
is.workflow.actions.properties.reminders,Get Details of Reminder,action_properties_reminders,,,,,
is.workflow.actions.getupcomingreminders,Get Upcoming Reminders,action_getupcomingreminders,1.0,,,,
is.workflow.actions.reminders.showlist,Open Reminders List,action_reminders_showlist,,,,1.0,
com.apple.reminders.TTROpenSmartListAppIntent,Open Smart List,action_open_smartlist,,,,1.0,
is.workflow.actions.removereminders,Remove Reminders,action_removereminders,,,,1.0,
