Action,Function
is.workflow.actions.posters.switch,action_posters_switch
is.workflow.actions.getdirections,action_getdirections
is.workflow.actions.searchmaps,action_searchmap
is.workflow.actions.filter.locations,action_filter_locations
is.workflow.actions.ride.requestride,action_requestride
is.workflow.actions.properties.locations,action_properties_location
is.workflow.actions.location,action_location
is.workflow.actions.getmapslink,action_getmapslink
is.workflow.actions.address,action_address
is.workflow.actions.detect.address,action_detect_address
is.workflow.actions.getdistance,action_getdistance
is.workflow.actions.gethalfwaypoint,action_gethalfwaypoint
is.workflow.actions.gettraveltime,action_gettraveltime
is.workflow.actions.getparkedcarlocation,action_getparkedcarlocation
is.workflow.actions.properties.parkedcar,action_properties_parkedcar
is.workflow.actions.setparkedcar,action_setparkedcar
is.workflow.actions.share,action_share
is.workflow.actions.runextension,action_runextension
is.workflow.actions.sendemail,action_sendemail
is.workflow.actions.airdropdocument,action_airdropdocument
com.apple.mobileslideshow.StreamShareService,action_mobileslideshow_streamshareservice
is.workflow.actions.generatebarcode,action_generatebarcode
is.workflow.actions.scanbarcode,action_scanbarcode
is.workflow.actions.print,action_print
is.workflow.actions.avairyeditphoto,action_avairyeditphoto
is.workflow.actions.makepdf,action_makepdf
is.workflow.actions.compresspdf,action_compresspdf
is.workflow.actions.splitpdf,action_splitpdf
is.workflow.actions.gettextfrompdf,action_gettextfrompdf
is.workflow.actions.file,action_file
is.workflow.actions.file.select,action_file_select
is.workflow.actions.file.move,action_file_move
is.workflow.actions.file.rename,action_file_rename
is.workflow.actions.documentpicker.save,action_documentpicker_save
is.workflow.actions.file.delete,action_file_delete
is.workflow.actions.file.getlink,action_file_getlink
is.workflow.actions.file.createfolder,action_file_createfolder
is.workflow.actions.file.getfoldercontents,action_file_getfoldercontents
is.workflow.actions.openin,action_openin
is.workflow.actions.file.append,action_file_append
is.workflow.actions.makezip,action_makezip
is.workflow.actions.unzip,action_unzip
is.workflow.actions.documentpicker.open,action_documentpicker_open
is.workflow.actions.properties.files,action_properties_files
is.workflow.actions.filter.files,action_filter_files
is.workflow.actions.gethtmlfromrichtext,action_gethtmlfromrichtext
is.workflow.actions.getmarkdownfromrichtext,action_getmarkdownfromrichtext
is.workflow.actions.getrichtextfrommarkdown,action_getrichtextfrommarkdown
is.workflow.actions.getrichtextfromhtml,action_getrichtextfromhtml
is.workflow.actions.searchweb,action_searchweb
is.workflow.actions.openurl,action_openurl
is.workflow.actions.giphy,action_giphy
is.workflow.actions.showwebpage,action_showwebpage
is.workflow.actions.readinglist,action_readinglist
is.workflow.actions.rss,action_rss
is.workflow.actions.rss.extract,action_rss_extract
is.workflow.actions.filter.articles,action_filter_articles
is.workflow.actions.properties.articles,action_properties_articles
is.workflow.actions.url,action_url
is.workflow.actions.detect.link,action_detect_link
is.workflow.actions.geturlcomponent,action_geturlcomponent
is.workflow.actions.url.expand,action_url_expand
is.workflow.actions.downloadurl,action_downloadurl
is.workflow.actions.url.getheaders,action_url_getheaders
is.workflow.actions.getwebpagecontents,action_getwebpagecontents
is.workflow.actions.properties.safariwebpage,action_properties_safariwebpage
is.workflow.actions.runjavascriptonwebpage,action_runjavascriptonwebpage
is.workflow.actions.filter.images,action_filter_images
is.workflow.actions.properties.images,action_properties_images
is.workflow.actions.detect.images,action_detect_images
is.workflow.actions.makeimagefromrichtext,action_makeimagefromrichtext
is.workflow.actions.makeimagefrompdfpage,action_makeimagefrompdfpage
is.workflow.actions.extracttextfromimage,action_extracttextfromimage
is.workflow.actions.image.combine,action_image_combine
is.workflow.actions.image.crop,action_image_crop
is.workflow.actions.image.flip,action_image_flip
is.workflow.actions.image.mask,action_image_mask
is.workflow.actions.overlayimageonimage,action_overlayimageonimage
is.workflow.actions.overlaytext,action_overlaytext
is.workflow.actions.image.rotate,action_image_rotate
is.workflow.actions.image.removebackground,action_image_removebackground
is.workflow.actions.makegif,action_makegif
is.workflow.actions.makevideofromgif,action_makevideofromgif
is.workflow.actions.addframetogif,action_addframetogif
is.workflow.actions.getframesfromimage,action_getframesfromimage
is.workflow.actions.selectphoto,action_selectphoto
is.workflow.actions.filter.photos,action_filter_photos
is.workflow.actions.getlastvideo,action_getlastvideo
is.workflow.actions.getlastscreenshot,action_getlastscreenshot
is.workflow.actions.getlatestbursts,action_getlatestburst
is.workflow.actions.getlatestlivephotos,action_getlatestlivephotos
is.workflow.actions.getlatestphotoimport,action_getlatestphotoimport
is.workflow.actions.removefromalbum,action_removefromalbum
is.workflow.actions.deletephotos,action_deletephoto
is.workflow.actions.savetocameraroll,action_savetocameraroll
is.workflow.actions.encodemedia,action_encodemedia
is.workflow.actions.trimvideo,action_trimvideo
is.workflow.actions.setvolume,action_setvolume
is.workflow.actions.pausemusic,action_pausemusic
is.workflow.actions.seek,action_seek
is.workflow.actions.skipback,action_skipback
is.workflow.actions.skipforward,action_skipforward
is.workflow.actions.listeningmode.set,action_listeningmode_set
is.workflow.actions.handoffplayback,action_handoffplayback
is.workflow.actions.setplaybackdestination,action_setplaybackdestination
is.workflow.actions.exportsong,action_exportsong
is.workflow.actions.filter.music,action_filter_music
is.workflow.actions.addmusictoupnext,action_addmusictoupnext
is.workflow.actions.clearupnext,action_clearupnext
is.workflow.actions.getcurrentsong,action_getcurrentsong
is.workflow.actions.properties.music,action_properties_music
is.workflow.actions.addtoplaylist,action_addtoplaylist
is.workflow.actions.createplaylist,action_createplaylist
is.workflow.actions.get.playlist,action_get_playlist
is.workflow.actions.searchpodcasts,action_searchpodcasts
is.workflow.actions.podcasts.subscribe,action_podcasts_subscribe
is.workflow.actions.playpodcast,action_playpodcast
is.workflow.actions.getepisodesforpodcast,action_getepisodesforpodcast
is.workflow.actions.getpodcastsfromlibrary,action_getpodcastsfromlibrary
is.workflow.actions.properties.podcastshow,action_properties_podcasthow
is.workflow.actions.properties.podcast,action_properties_podcast
is.workflow.actions.searchappstore,action_searchappstore
is.workflow.actions.properties.appstore,action_properties_appstore
is.workflow.actions.filter.health.quantity,action_filter_health_quality
is.workflow.actions.health.quantity.log,action_health_quantity_log
is.workflow.actions.health.workout.log,action_health_workout_log
is.workflow.actions.properties.health.quantity,action_properties_health_quantity
is.workflow.actions.addnewcalendar,action_addnewcalendar
is.workflow.actions.addnewevent,action_addnewevent
is.workflow.actions.setters.calendarevents,action_setters_calendarevents
is.workflow.actions.filter.eventattendees,action_filter_eventattendees
is.workflow.actions.properties.calendarevents,action_properties_calendarevents
is.workflow.actions.properties.eventattendees,action_properties_eventattendees
is.workflow.actions.getupcomingevents,action_getupcomingevents
is.workflow.actions.showincalendar,action_showincalendar
is.workflow.actions.removeevents,action_removeevents
com.apple.mobilecal.SetCalendarFocusConfiguration,action_set_calendar_focus
is.workflow.actions.filter.calendarevents,action_filter_calendarevents
com.apple.mobiletimer-framework.MobileTimerIntents.MTGetAlarmsIntent,action_filter_alarms
com.apple.mobiletimer.EditSleepAlarmIntent,action_edit_alarm
com.apple.mobiletimer-framework.MobileTimerIntents.MTToggleAlarmIntent,action_toggle_turn_alarm
com.apple.mobiletimer.LapStopwatchIntent,action_lap_stopwatch
com.apple.mobiletimer.ResetStopwatchIntent,action_reset_stopwatch
com.apple.mobiletimer.StartStopwatchIntent,action_start_stopwatch
com.apple.mobiletimer.StopStopwatchIntent,action_stop_stopwatch
com.apple.mobiletimer.OpenTab,action_opentab
com.apple.mobiletimer.CancelTimerIntent,action_cancel_timer
com.apple.mobiletimer.GetCurrentTimerDetailsIntent,action_get_detail_timer
com.apple.mobiletimer.PauseTimerIntent,action_pause_timer
com.apple.mobiletimer.ResumeTimerIntent,action_resume_timer
is.workflow.actions.timer.start,action_timer_start
com.apple.facetime.facetime,action_facetime
is.workflow.actions.homeaccessory,action_homeaccessory
is.workflow.actions.gethomeaccessorystate,action_gethomeaccessory
is.workflow.actions.intercom,action_intercom
is.workflow.actions.email,action_email
is.workflow.actions.detect.emailaddress,action_detect_emailaddress
com.apple.mobilemail.OpenMailboxEntityAction,action_open_mailbox
com.apple.mobilemail.SearchMessagesAction,action_search_message_mail
is.workflow.actions.selectemail,action_selectemail
com.apple.mobilemail.MailFocusConfigurationAction,action_change_focus_mail
is.workflow.actions.useractivity.open,action_user_activity_open
is.workflow.actions.appendnote,action_appendnote
com.apple.mobilenotes.SharingExtension,action_createnote
com.apple.mobilenotes.DeleteNotesLinkAction,action_deletenote
is.workflow.actions.filter.notes,action_filter_notes
is.workflow.actions.shownote,action_shownote
com.apple.mobilenotes.PinNotesLinkAction,action_add_to_pinnote
com.apple.mobilenotes.ICNotesFolderIntent,action_show_notefolder
com.apple.mobilenotes.ShowQuickNoteIntent,action_show_quicknote
com.apple.mobilenotes.OpenAccountLinkAction,action_note_openaccount
com.apple.mobilenotes.ChangeSettingLinkAction,action_note_changesetting
com.apple.mobilenotes.OpenAppLocationLinkAction,action_open_view_note
com.apple.mobilenotes.CreateFolderLinkAction,action_create_note_folder
com.apple.mobilenotes.DeleteFoldersLinkAction,action_delete_note_folder
com.apple.mobilenotes.MoveNotesToFolderLinkAction,action_move_notes
com.apple.mobilenotes.AddTagsToNotesLinkAction,action_add_tag_notes
com.apple.mobilenotes.DeleteTagsLinkAction,action_delete_tag_notes
com.apple.mobilenotes.CreateTagLinkAction,action_create_tag_notes
com.apple.mobilenotes.OpenTagLinkAction,action_open_tag_notes
com.apple.mobilenotes.RemoveTagsFromNotesLinkAction,action_remove_tag_notes
is.workflow.actions.weather.currentconditions,action_weather_currentconditions
is.workflow.actions.weather.forecast,action_weather_forecast
is.workflow.actions.properties.weather.conditions,action_weather_condition
com.apple.weather.OpenNotificationsConfigurationIntent,action_weather_notification
com.apple.weather.WeatherIntent,action_weather_weatherintent
com.apple.Passbook.OpenPassIntent,action_open_card
is.workflow.actions.openpasswords,action_openpasswords
is.workflow.actions.venmo.request,action_venmo_request
is.workflow.actions.venmo.pay,action_venmo_pay
com.apple.ShortcutsActions.SetDataRoamingAction,action_setdataroaming
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleLEDFlashIntent,action_setting_flashlight
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleClassicInvertIntent,action_setting_classicinvert
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleColorFiltersIntent,action_setting_colorfilter
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleContrastIntent,action_setting_increasecontrast
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleSmartInvertIntent,action_setting_smartinvert
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXSetLargeTextIntent,action_setting_textsize
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleAutoAnswerCallsIntent,action_setting_autoanswer
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXSetBackgroundSoundIntent,action_setting_backgroundsound
com.apple.Preferences.DeveloperSettingsDeepLink,action_setting_develpersetting
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXStartMagnifierIntent,action_setting_magnifier
com.apple.Preferences.OpenSoundsAndHapticsDeepLinks,action_setting_opens
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleAssistiveTouchIntent,action_setting_assistivetouch
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleAudioDescriptionsIntent,action_setting_audiodescription
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXSetBackgroundSoundVolumeIntent,action_setting_backgroundsounds
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXSetLeftRightBalanceIntent,action_setting_leftrightbalance
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleCaptionsIntent,action_setting_captionssdh
is.workflow.actions.format.number,action_format_number
is.workflow.actions.detect.number,action_detect_number
is.workflow.actions.math,action_math
is.workflow.actions.calculateexpression,action_calculateexpression
com.apple.mobilephone.call,action_call
net.whatsapp.WhatsApp.send,action_whatsapp_send
net.whatsapp.WhatsApp.openin,action_whatsapp_openin
is.workflow.actions.addnewreminder,action_addnewreminder
com.apple.reminders.TTRCreateListAppIntent,action_create_remainderlist
is.workflow.actions.setters.reminders,action_setters_reminders
is.workflow.actions.filter.reminders,action_filter_reminders
is.workflow.actions.properties.reminders,action_properties_reminders
is.workflow.actions.getupcomingreminders,action_getupcomingreminders
is.workflow.actions.reminders.showlist,action_reminders_showlist
com.apple.reminders.TTROpenSmartListAppIntent,action_open_smartlist
is.workflow.actions.removereminders,action_removereminders
com.apple.reminders.TTRSearchRemindersAppIntent,action_search_inreminder
com.alexhay.ToolboxProForShortcuts.AverageColourIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.CreateMatteIntent,action_external_app
com.apple.VoiceMemos.RecordVoiceMemoIntent,action_create_recording
is.workflow.actions.sirikit.donation.handle,action_create_recording
com.apple.VoiceMemos.PlaybackVoiceMemoIntent,action_play_recording
com.apple.VoiceMemos.ChangeRecordingPlaybackSetting,action_change_setting_recording
com.apple.VoiceMemos.SelectRecording,action_select_recording
com.apple.VoiceMemos.StopRecording,action_stop_recording
com.apple.VoiceMemos.DeleteRecording,action_delete_recording
is.workflow.actions.selectcontacts,action_selectcontacts
is.workflow.actions.selectphone,action_selectphone
is.workflow.actions.contacts,action_contacts
is.workflow.actions.filter.contacts,action_filter_contacts
is.workflow.actions.detect.phonenumber,action_detect_phonenumber
com.burbn.instagram.openin,action_external_app
is.workflow.actions.tweet,action_external_app
com.google.chrome.ios.OpenInChromeIntent,action_external_app
is.workflow.actions.shazamMedia,action_external_app
com.apple.TVRemoteUIService.LaunchApplicationIntent,action_external_app
com.apple.TVRemoteUIService.LaunchRemoteIntent,action_external_app
is.workflow.actions.alarm.create,action_create_alarm
is.workflow.actions.alarm.toggle,action_toggle_turn_alarm
com.openai.chat.AskIntent,action_external_app
is.workflow.actions.detect.contacts,action_detect_contacts
is.workflow.actions.getarticle,action_getarticle
com.rivian.ios.consumer.OpenFrunkIntent,action_external_app
com.apple.mobilesafari.CloseTab,action_safari_closetab
com.apple.TVRemoteUIService.WakeAppleTVIntent,action_external_app
com.apple.TVRemoteUIService.SleepAppleTVIntent,action_external_app
com.rivian.ios.consumer.CloseFrunkIntent,action_external_app
is.workflow.actions.openworkflow,action_openworkflow
is.workflow.actions.photos.createalbum,action_photo_createalbum
is.workflow.actions.gettypeaction,action_gettypeaction
com.sindresorhus.Actions.IsReachableIntent,action_external_app
com.google.chrome.ios.openurl,action_external_app
com.alexhay.ToolboxProForShortcuts.CropIntent,action_external_app
dk.simonbs.Scriptable.RunScriptInlineIntent,action_external_app
is.workflow.actions.properties.contacts,action_properties_contacts
is.workflow.actions.pocket.add,action_external_app
is.workflow.actions.folder,action_file
is.workflow.actions.phonenumber,action_phonenumber
is.workflow.actions.postonfacebook,action_external_app
is.workflow.actions.imgur.upload,action_external_app
com.microsoft.msedge.OpenInChromeIntent,action_external_app
com.apple.Pages.TSADocumentOpenIntent,action_external_app
com.apple.TVRemoteUIService.PauseContentIntent,action_external_app
com.apple.TVRemoteUIService.SkipContentIntent,action_external_app
com.apple.TVRemoteUIService.LaunchScreenSaverIntent,action_external_app
com.apple.TVRemoteUIService.SwitchUserAccountIntent,action_external_app
com.apple.TVRemoteUIService.ToggleSystemAppearanceIntent,action_external_app
com.apple.TVRemoteUIService.ToggleCaptionsIntent,action_external_app
com.apple.TVRemoteUIService.ReduceLoudSoundsIntent,action_external_app
is.workflow.actions.searchitunes,action_searchitunes
is.workflow.actions.properties.itunesstore,action_properties_itunes
is.workflow.actions.showinstore,action_showinstore
com.apple.shortcuts.SearchShortcutsAction,action_search_shortcut
com.alexhay.ToolboxProForShortcuts.TrimTextIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.InternetConnectionIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.IsVPNConnectedIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.DeviceStorageIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.CheckIfInstalledIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.SortListIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.ViewMapIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.DeviceDetailsIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.PerformCalculationIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.DeviceLanguageIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.BatteryStatusIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.QuickLookExtendedIntent,action_external_app
com.apple.shortcuts.DeleteWorkflowAction,action_deleteworkflow
com.apple.shortcuts.CreateWorkflowAction,action_create_shortcut
is.workflow.actions.evernote.get,action_external_app
is.workflow.actions.evernote.delete,action_external_app
is.workflow.actions.evernote.append,action_external_app
com.winterowls.Night-Shift.RandomWallpaperIntent,action_external_app
com.apple.ShortcutsActions.SetSilentModeAction,action_toggle_turnsilentmode
com.apple.musicrecognition.RecognizeMusicIntent,action_recognize_music
com.brave.ios.browser.OpenWebsiteIntent,action_external_app
com.google.GoogleMobile.GoogleForQueryIntent,action_external_app
is.workflow.actions.dismisssiri,action_dismisssiri
net.shinyfrog.bear-IOS.create,action_external_app
is.workflow.actions.runapplescript,action_external_app
com.apple.DocumentsApp.SearchFile,action_searchfile
com.apple.mobilesafari.TabEntity,action_filter_tab
com.sindresorhus.Actions.IsOnlineIntent,action_external_app
com.sindresorhus.Actions.Authenticate,action_external_app
com.sindresorhus.Actions.RemoveNonPrintableCharactersIntent,action_external_app
com.sindresorhus.Actions.RemoveEmojiIntent,action_external_app
com.sindresorhus.Actions.TransformTextIntent,action_external_app
is.workflow.actions.workout.start,action_health_workout_log
is.workflow.actions.stocks.quote,action_stock_quote
com.tijo.opener.Opener.show-options,action_external_app
com.apple.iBooks.BookAppEntity,action_external_app
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleZoomIntent,action_setting_zoom
com.tapbots.Tweetbot.tweet,action_external_app
com.culturedcode.ThingsTouch.addtask,action_external_app
com.sindresorhus.Actions.IsShakingDevice,action_external_app
dk.simonbs.DataJar.GetValueIntent,action_external_app
dk.simonbs.DataJar.SetValueIntent,action_external_app
com.sindresorhus.Actions.IsCellularDataOn,action_external_app
com.sindresorhus.Actions.IsBluetoothOnIntent,action_external_app
com.sindresorhus.Actions.IsConnectedToVPNIntent,action_external_app
com.sindresorhus.Actions.IsLowPowerModeIntent,action_external_app
com.sindresorhus.Actions.IsSilentModeOnIntent,action_external_app
com.sindresorhus.Actions.IsDarkModeIntent,action_external_app
com.sindresorhus.Actions.GetDeviceOrientationIntent,action_external_app
com.sindresorhus.Actions.GetActionsVersion,action_external_app
com.sindresorhus.Actions.GetBatteryStateIntent,action_external_app
com.sindresorhus.Actions.GetDeviceDetailsExtended,action_external_app
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleSoundDetectionIntent,action_setting_soundrecognition
com.apple.news.TagIntent,action_external_app
com.omnigroup.OmniFocus2.iPhone.pastetaskpaper,action_external_app
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXStartGuidedAccessIntent,action_start_guidedaccess
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleVoiceControlIntent,action_turn_voicecontrol
com.apple.shortcuts.ResetCellularDataStatisticsAction,action_reset_cellulardata_statistics
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleLiveCaptionsIntent,action_setting_livecaption
is.workflow.actions.pocket.get,action_external_app
com.6X.LockLauncher.RefreshActivityIntent,action_external_app
com.adguard.ios.AdGuardVPN.VpnStateIntent,action_external_app
dk.simonbs.DataJar.CheckIfValueExistsIntent,action_external_app
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleMonoAudioIntent,action_setting_monoaudio
is.workflow.actions.announcenotifications.set,action_setting_announcenotification
com.apple.NanoSettings.NPRFPingMyPhoneIntent,action_pingmyphone
com.apple.NanoSettings.NPRFSetFlashLightIntent,action_setflashlight
com.apple.NanoSettings.NPRFSetTheaterModeIntent,action_theatermode
com.apple.NanoSettings.NPRFSetWaterLockIntent,action_set_waterlock
com.apple.NanoSettings.NPRFSetSchoolTimeIntent,action_set_schooltime
com.todoist.ios.CreateTaskIntent,action_external_app
com.leomehlig.today.AddTaskIntent,action_external_app
com.rivian.ios.consumer.CloseLiftgateIntent,action_external_app
com.phocusllp.due.add,action_external_app
io.pushcut.Pushcut.RunShortcutIntent,action_external_app
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleVoiceOverIntent,action_setting_voiceover
com.rivian.ios.consumer.UnlockDoorsIntent,action_external_app
com.microsoft.bing.OpenSydneyIntent,action_external_app
is.workflow.actions.runscene,action_health_workout_log
com.sindresorhus.Actions.BlurImages,action_external_app
com.alexhay.ToolboxProForShortcuts.AuthenticateIntent,action_external_app
is.workflow.actions.trello.add.card,action_external_app
is.workflow.actions.personalhotspot.password.set,action_personalhotspot_password_get
com.apple.iBooks.openin,action_external_app
is.workflow.actions.dropbox.open,action_external_app
is.workflow.actions.addnewcontact,action_add_new_contact
is.workflow.actions.setters.contacts,action_set_contact
com.rivian.ios.consumer.LockDoorsIntent,action_external_app
com.apple.ShortcutsActions.OpenCameraAction,action_open_camera
is.workflow.actions.trello.get,action_external_app
is.workflow.actions.properties.trello,action_external_app
com.sindresorhus.Actions.GetAudioPlaybackDestinationIntent,action_external_app
com.sindresorhus.Actions.GetAverageColorOfImage,action_external_app
com.sindresorhus.Actions.CreateColorImageIntent,action_external_app
company.thebrowser.ArcMobile2.SearchIntent,action_external_app
com.apple.Keynote.KNDocumentPlayIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.GetWorkoutsIntent,action_external_app
com.rivian.ios.consumer.OpenLiftgateIntent,action_external_app
is.workflow.actions.todoist.add,action_external_app
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleBackgroundSoundsIntent,action_setting_setbackgroundsound
is.workflow.actions.text.trimwhitespace,action_trim
com.apple.AppStore.PageNavigationIntent,action_decayed_action
com.apple.Home.ToggleIntent,action_decayed_action
com.apple.Passbook.DeletePassIntent,action_decayed_action
com.apple.Passbook.AppleCardBillPayIntent,action_decayed_action
com.apple.ShortcutsActions.SetVoiceDataModeAction,action_set_voice_data_mode
com.apple.ShortcutsActions.ToggleCellularPlanAction,action_toggle_cellular_plan
com.alexhay.ToolboxProForShortcuts.GlobalVariablesIntent,action_external_app
com.sindresorhus.Actions.IsDeviceLocked,action_external_app
com.sindresorhus.Actions.WriteTextIntent,action_external_app
com.apple.shortcuts.OpenWorkflowAction,action_openworkflow
